Good Fashion GachaⅣ,2022-09-20
『Glorious Dragonewt Gacha』,2022-09-20
New Mount  Rate UP! Couple Drive FesR Starts!,2022-09-20
NPC Avatar Gacha (Light & Hikari) now available!,2022-09-19
Bisque Doll Gacha,2022-09-19
"SP Master Pack" / 4 Master Drills Is Now Available!,2022-09-18
"Mighty Power Gacha" is here!,2022-09-18
Increased ATK & Critical Damage! "Dancing Butterflies Gacha"  Is Here!,2022-09-18
Good Fashion GachaⅢ,2022-09-16
Warrior Hunter Gacha,2022-09-16
"Stormy Demon Bow Gacha" starts!,2022-09-16
Tea House Town Gacha,2022-09-16
Get Powerful Cores! EX Core Pack now available!,2022-09-15
Increased ATK & Critical Damage! "Dancing Butterflies Gacha"  Is Here!,2022-09-15
Unlimited fights! "No Tickets Needed Area Boss Campaign!" Starts!,2022-09-14
New Mount  Rate UP! Couple Drive Gacha Starts!,2022-09-14
【Screenshot Contest Results!】August Screenshot Contest Starts!,2022-09-14
Lunar Harvest Gacha,2022-09-13
"Fantastic Academy Gacha" starts!,2022-09-13
Good Fashion GachaⅦ,2022-09-13
"Alchemia Pack" w/ Rune Box! 2 Types Now Available!,2022-09-12
Increased Elemental Attack! "Hydrangea at Dusk Gacha" Is Here!,2022-09-12
Good Fashion GachaV,2022-09-11
Get 11 High Cores!!"High Grande Gacha",2022-09-11
Guiding Moonlight Gacha,2022-09-09
"Plumeria Marriage Gacha" starts!,2022-09-09
Increased Elemental Attack! "Melodic Conductor Gacha" Is Here!,2022-09-09
Step-up style "Melodic Conductor Gacha" starts!,2022-09-09
New Event "Tsukimi Panic～Part 1～" Starts!,2022-09-07
Samurai Decorum Gacha,2022-09-07
Oratorio of Angels Tix,2022-09-07
"Battle Ronin Gacha" starts!,2022-09-06
Wedding Kimono Gacha,2022-09-06
Increased DEF to the same element! "Marine Wear Gacha" Is Here!,2022-09-04
『Fire Squad Gacha』,2022-09-02
Observers in the Sky Gacha,2022-09-02
September NM Gacha Tix,2022-09-01
Bonus Gem Campaign Starts!,2022-09-01
Step-up style "Schwarze Maschine Gacha" starts!,2022-08-31
Increases max HP! "Schwarze Maschine Gacha" Is Here!,2022-08-31
Event "Spirit Wars (Wind Spirit)" Starts!,2022-08-31
September 2022 Calendar Wallpaper!,2022-08-31
Oniyasha of the Underworld Gacha,2022-08-30
Blood Moon Gacha,2022-08-30
Dreamy Butterfly Gacha Is Here!,2022-08-30
Destroyer of the Abyss Gacha Is Here!,2022-08-29
Night Sky Gacha,2022-08-28
Firing crystal of eternal light  Gacha,2022-08-26
Eternal Gothic Doll Gacha,2022-08-26
「UPDATE 8/26 15:25 (JST)」Win LR Accessory!? "Traditional Jewelry Gacha" Arrives!,2022-08-26
Summer Limited! "Once a Day Free 10x Gacha" Part 4 Now Available!,2022-08-25
New feature on the Windows version! RT Campaign,2022-08-24
【8/26 Edit】New Feature on the Windows Ver.!  Link Up Campaign Starts!,2022-08-24
New feature on the Windows version: "Anemos Points" and "Sage Points",2022-08-24
August 24 update details!,2022-08-24
Sacred Knights Gacha,2022-08-24
More the Merrier!  "Strong & Cute Mamono-chan Gacha" Now Available!,2022-08-24
LR Box,2022-08-24
Armor Set Added!Alchemia Designer Series (Girl),2022-08-23
Cat God of Memphis Gacha,2022-08-23
Increased Elemental Attack!  "Snow Magic Gacha" Now Available!,2022-08-21
Science Fiction Gacha,2022-08-21
Enhance Your Weapons! "Rune Space Pack" Now Available!,2022-08-20
50% Off! "Selected Weapons Gacha" is here!,2022-08-20
【Berserker】List of where to get materials for Akashic Weapons by job,2022-08-20
【Moonlight Fencer】List of where to get materials for Akashic Weapons by job,2022-08-20
【Wizard】List of where to get materials for Akashic Weapons by job,2022-08-20
【Priest】List of where to get materials for Akashic Weapons by job,2022-08-20
【Planetary Mage】List of where to get materials for Akashic Weapons by job,2022-08-20
【Mage】List of where to get materials for Akashic Weapons by job,2022-08-20
【Paladin】List of where to get materials for Akashic Weapons by job,2022-08-20
【Assassin】List of where to get materials for Akashic Weapons by job,2022-08-20
【Highfighter】List of where to get materials for Akashic Weapons by job,2022-08-20
【Engineer】List of where to get materials for Akashic Weapons by job,2022-08-20
【Hero】List of where to get materials for Akashic Weapons by job,2022-08-20
【Lancer Cavalry】List of where to get materials for Akashic Weapons by job,2022-08-20
【Hunter】List of where to get materials for Akashic Weapons by job,2022-08-20
Featuring Snow Spirit Wings!"Minion Knight Gacha",2022-08-19
Wonderland Seeker Gacha,2022-08-19
Survivor of the Apocalypse Gacha,2022-08-19
Increased Elemental Attack! "Hydrangea at Dusk Gacha" Is Here!,2022-08-18
Summer Limited! "Once a Day Free 10x Gacha" Part 3 Now Available!,2022-08-18
New Event "The Camp of the Dead ～Part 2～" Starts!,2022-08-17
【Screenshot Contest Results!】July Screenshot Contest Starts!,2022-08-17
Star Fest Avatar Gacha,2022-08-16
Fashionable Beat Gacha,2022-08-16
Price of your Contract! Demons of the Night Gacha Is Here!,2022-08-16
Extreme Racers Gacha,2022-08-14
Sacred Gacha,2022-08-13
Flashing Hyperion Gacha,2022-08-12
Lonely Hunter!"Vampire Hunter Gacha" Is Here!,2022-08-12
Step-up style "Vampire Hunter Gacha" starts!,2022-08-12
Summer Limited! "Once a Day Free 10x Gacha" Part 2 Now Available!,2022-08-11
Increased Damage Limit! "Mechanic Tiger Gacha",2022-08-10
Stormy Demon Bow Tix,2022-08-10
Secret Agent Gahca,2022-08-09
Oni Kagura Gacha,2022-08-09
Increased Damage Limit! "12 Stars in the Sky Gacha" Now Available!,2022-08-07
Increased Recovery!  "Gothic Priest Gacha" Now Available!,2022-08-07
Increased Elemental Attack! "Rose Masquerade Gacha" Arrives!,2022-08-05
"Yukata Pack" Arrives!,2022-08-05
Increased MATK!  "Blooming Dawn Gacha" Is Here!,2022-08-05
Includes LR Challenge Tix! 9 types of featured weapon gachas are now available!,2022-08-04
New Event "The Camp of the Dead～Part 1～" Starts!,2022-08-03
Alchemia Summer Campaign,2022-08-03
Step-Up Style "Cool Summer Gacha" Now Available!,2022-08-03
Make a fortune!? Alchemia Summer Lottery!,2022-08-03
Summer Limited! Total 290x! "Once a Day Free 10x Gacha" Now Available!,2022-08-03
Summer Limited! "Once a Day Free 10x Gacha" Part 1 Now Available!,2022-08-03
"Holy Rabbit Gacha" Now Available!,2022-08-02
Increased Recovery! "Royal Wedding Gacha" Is Here!,2022-08-02
August NM Gacha Tix,2022-08-01
Step-up style "Suzu Yokai Gacha" starts!,2022-07-31
August 2022 Calendar Wallpaper!,2022-07-31
Dazzling Ninjas Gacha,2022-07-30
Winged Lancer Gacha,2022-07-29
"Divine Dragon Gacha" Now Available!,2022-07-29
Resort Walk Gacha,2022-07-29
Sleeping Abyss Gacha,2022-07-28
Double chance campaign for selected Area Boss drops!,2022-07-27
Bridal Dress Gacha,2022-07-26
Increased ATK & Critical Damage! "Dancing Butterflies Gacha" Now Available!,2022-07-26
Modern Gacha is Here!,2022-07-23
Accessory Ⅵ Selection Gacha,2022-07-22
Guardian Angel Gacha,2022-07-22
New Event "Gyorumi Village Festival? ～Part 2～" Starts!,2022-07-20
【Screenshot Contest Results!】June Screenshot Contest Starts!,2022-07-20
"Creative Gacha" Now Available!,2022-07-19
Increased DEF to the same element! "Garden of Miracles Gacha" Now Available!,2022-07-18
Increased MATK! "Brave Wizard Gacha" Now Available!,2022-07-16
Increased ATK! "Royal Knight Gacha" Now Available!,2022-07-16
Alchemy Academy Gacha,2022-07-15
Detective's Inspiration!  "Seeker of Truth Gacha" Is Here!,2022-07-14
